float_file,date,lat,lon,ocean,profiler_type,pressure,temperature,salinity
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,803.4,4.827,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,813.6,4.817,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,823.8,4.811,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,834.0,4.801,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,844.1,4.751,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,854.3,4.728,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,864.5,4.698,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,874.7,4.691,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,884.9,4.678,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,895.0,4.625,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,905.2,4.576,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,915.4,4.589,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,925.6,4.572,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,935.8,4.556,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,945.9,4.553,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,956.1,4.543,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,966.3,4.497,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,976.5,4.445,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,986.7,4.428,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,996.8,4.441,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,1007.0,4.461,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,1017.2,4.487,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,1027.4,4.487,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,1037.6,4.468,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,1047.7,4.455,
aoml/13857/profiles/R13857_001.nc,1997-07-29 20:03:00+00:00,0.267,-16.032,A,845.0,1057.9,4.455,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,11.9,23.326,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,17.0,23.267,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,22.1,23.132,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,27.2,23.048,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,32.3,22.964,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,37.4,22.873,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,42.5,22.74,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,47.5,22.559,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,52.6,22.299,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,57.7,21.844,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,62.8,21.26,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,67.9,20.759,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,73.0,20.395,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,78.1,20.008,
aoml/13857/profiles/R13857_002.nc,1997-08-09 19:21:12+00:00,0.072,-17.659,A,845.0,83.2,19.172,
